n_kejuruan,n_mat,n_por,n_agama,n_bjawa,n_bindo,n_sikap_a,mother_work_lainnya,mother_salary_sangat_rendah,father_salary_tidak_berpenghasilan,extracurricular_tidak,father_edu_smp_sederajat,father_work_buruh,mother_salary_cukup_rendah,mother_work_buruh,final_score
87,85,89,94,89,87,1,0,0,0,1,0,1,0,0,1
86,82,84,83,88,87,0,0,0,0,1,1,0,1,0,0
88,90,87,94,87,87,1,0,0,1,1,0,0,0,0,1
88,85,89,94,89,88,1,0,0,0,0,1,1,0,0,1
87,84,85,91,89,87,0,0,0,0,1,0,1,1,1,1
86,84,83,92,89,83,0,0,0,0,1,0,0,0,0,1
86,84,87,94,90,87,0,0,0,0,1,0,0,0,0,1
90,86,90,95,90,87,1,0,0,0,1,0,0,0,0,1
86,80,85,91,88,86,0,1,0,0,1,0,0,0,0,1
87,84,91,95,89,84,1,0,0,1,1,0,0,0,0,1
88,86,85,95,90,88,1,0,0,0,1,1,0,0,0,1
90,95,91,96,89,90,1,0,0,1,1,0,0,0,0,1
84,84,84,95,89,87,0,0,0,0,1,0,1,1,1,1
83,86,85,95,89,88,0,0,0,0,1,0,0,1,0,0
88,90,89,96,90,88,1,0,0,0,1,0,0,0,0,1
90,90,91,96,88,89,1,0,0,0,1,0,0,0,0,1
86,81,85,90,89,83,0,0,0,0,1,0,0,0,0,1
87,88,84,83,88,84,0,0,0,1,1,0,0,0,1,1
90,86,92,95,89,91,1,0,0,0,1,0,0,0,0,1
88,85,90,94,89,89,1,0,0,0,1,0,0,0,0,1
89,85,91,95,88,91,1,0,0,0,1,0,0,0,0,1
88,80,88,90,88,87,0,0,0,1,0,0,0,0,0,1
88,80,91,94,88,88,1,0,0,0,0,0,0,0,0,1
89,82,91,94,88,90,1,1,0,0,1,0,1,0,0,1
89,86,89,94,90,89,1,0,0,0,1,1,0,0,0,1
89,86,91,95,91,88,1,0,0,0,1,1,0,0,0,1
89,88,88,96,90,91,1,0,0,0,1,1,0,0,0,1
88,82,88,95,89,92,1,0,0,0,1,1,0,0,0,1
90,82,90,96,88,89,1,0,0,0,1,0,0,0,0,1
89,86,91,95,88,91,1,0,0,0,1,0,0,0,0,1
90,90,89,97,90,91,1,0,0,0,1,0,0,0,0,1
86,84,91,92,90,88,0,0,0,0,1,0,0,0,0,1
89,86,87,84,88,89,1,0,0,0,1,0,0,0,0,1
90,82,88,95,89,88,1,0,0,0,0,0,1,0,1,1
89,86,91,93,89,90,1,0,0,0,1,0,0,0,0,1
86,78,87,95,88,84,0,0,0,0,1,1,1,0,1,1
83,80,87,94,89,79,0,1,0,0,1,1,1,1,0,0
87,88,82,88,89,91,1,0,0,0,0,0,0,0,0,1
86,78,84,93,89,79,0,0,0,0,1,0,0,0,0,1
87,85,87,95,89,88,1,0,0,0,1,0,0,0,0,1
88,84,86,95,89,95,1,0,0,0,1,0,1,0,0,1
85,78,87,94,89,85,0,0,0,0,0,0,0,0,0,1
88,86,88,96,90,91,1,0,0,0,1,0,1,0,0,1
86,85,88,91,90,80,0,0,0,0,1,0,0,0,0,1
85,80,86,95,90,79,0,0,0,0,1,0,1,0,0,0
86,85,85,95,91,91,1,0,0,0,1,0,0,0,1,1
84,83,87,83,91,91,0,0,0,0,1,0,0,0,0,1
85,78,86,94,88,83,0,0,0,0,1,0,0,0,0,0
88,86,88,95,88,95,1,0,0,0,0,0,0,0,0,1
87,84,86,95,89,91,1,1,0,0,1,0,0,0,0,1
88,90,87,96,90,90,1,0,0,0,1,0,0,0,0,1
85,80,86,89,91,85,0,0,0,0,1,0,0,0,0,0
87,82,90,90,89,80,0,0,0,0,1,0,0,0,0,1
88,85,90,96,90,91,1,0,0,0,1,0,0,0,0,1
87,86,86,93,88,91,1,0,0,0,1,0,0,0,0,1
84,80,85,86,89,88,0,0,0,0,1,0,0,0,0,0
87,86,86,94,89,88,1,0,0,0,1,0,1,0,0,1
88,87,90,91,89,92,1,0,0,0,1,1,0,0,0,1
87,85,89,90,91,85,1,0,0,0,1,0,0,0,0,1
86,85,88,95,91,94,1,0,0,0,1,0,0,0,0,1
86,82,88,94,89,85,0,0,0,1,1,0,0,1,0,1
85,85,86,85,90,92,0,0,0,0,1,1,1,0,0,1
88,88,88,95,90,91,1,0,0,0,0,0,0,0,0,1
86,85,86,94,89,92,1,1,0,1,1,0,0,0,0,1
86,86,89,92,89,91,1,0,0,0,1,0,0,0,0,1
86,80,86,83,88,92,0,0,0,1,1,0,0,0,0,1
87,86,87,93,88,91,1,0,0,0,1,0,0,0,0,1
84,83,86,91,89,80,0,0,0,1,1,0,0,1,0,0
85,82,88,94,88,85,0,0,0,0,1,0,1,0,0,1
85,84,88,95,91,87,0,0,0,0,1,1,0,0,0,1
87,85,86,95,90,92,1,0,0,0,0,0,1,0,0,1
83,82,84,84,90,91,0,0,0,0,1,0,0,0,0,0
87,86,92,95,90,85,1,0,0,0,1,0,0,0,0,1
87,85,90,84,88,90,0,0,0,0,1,0,0,0,0,1
87,80,87,94,89,82,0,0,0,0,1,0,0,0,0,1
85,82,90,81,89,81,0,0,0,0,1,1,0,0,0,0
87,84,90,82,90,85,0,0,0,0,1,0,0,0,0,1
86,85,91,84,89,85,0,0,0,1,1,0,0,0,0,1
87,85,92,95,90,81,1,0,0,0,1,0,1,0,0,1
87,87,91,95,89,83,1,0,0,0,1,0,0,0,0,1
86,78,92,95,90,83,0,0,0,0,1,0,1,0,0,1
87,82,89,95,90,82,0,0,0,0,1,0,0,0,0,1
85,83,90,81,89,86,0,0,0,0,1,0,0,1,0,0
87,82,91,82,90,82,0,0,0,0,1,1,0,0,0,1
87,81,90,85,90,83,0,0,0,0,1,0,0,0,0,1
88,85,89,96,88,85,1,0,0,1,1,0,0,0,0,1
89,88,91,95,87,90,1,0,0,0,1,0,0,0,0,1
87,83,87,92,88,79,0,0,0,0,1,1,0,0,0,1
87,85,91,91,90,83,1,0,0,0,1,0,1,0,1,1
89,86,90,96,90,91,1,0,0,0,0,0,0,0,0,1
86,83,88,94,90,85,0,0,0,0,1,0,0,0,0,1
90,84,91,95,88,87,1,1,0,0,1,0,0,1,0,1
88,86,88,84,88,85,0,0,0,0,1,0,0,0,0,1
88,86,89,95,90,85,1,0,0,0,1,1,0,0,0,1
87,86,89,94,91,88,1,0,0,0,1,1,0,0,0,1
87,84,88,94,90,90,1,0,0,0,1,0,0,0,0,1
88,84,88,94,88,82,1,0,0,0,1,0,0,0,0,1
88,82,89,93,88,81,1,0,0,0,1,0,0,0,0,1
87,85,85,95,88,82,0,1,0,0,1,0,0,0,0,1
88,85,91,97,89,91,1,0,0,1,0,0,0,0,0,1
87,86,88,92,90,87,1,0,0,0,0,0,1,0,0,1
89,85,90,96,89,88,1,0,0,0,1,0,0,0,0,1
86,85,87,84,89,87,0,0,0,0,1,0,0,0,0,1
88,88,89,83,88,91,1,0,0,1,1,0,0,0,0,1
89,85,91,96,87,89,1,0,0,0,1,1,1,1,1,1
87,85,87,84,88,83,0,0,0,0,1,0,0,0,0,1
88,84,87,95,89,86,1,0,0,0,1,0,1,0,0,1
89,86,90,94,90,83,1,0,0,0,1,0,0,1,0,1
87,81,86,94,88,83,0,0,0,0,1,0,1,1,1,1
81,78,85,75,88,83,0,0,0,0,1,0,0,0,0,0
90,87,86,96,88,81,1,0,0,0,1,0,0,0,0,1
79,81,84,81,89,78,0,0,0,0,1,0,0,0,0,0
84,88,86,95,90,78,0,0,0,0,1,0,0,0,0,0
85,88,84,92,89,81,0,0,0,0,0,0,0,0,0,0
85,86,86,84,87,82,0,0,0,1,1,0,0,0,1,0
84,84,81,82,88,80,0,0,0,0,1,0,0,0,0,0
84,80,86,91,90,85,0,0,0,0,1,1,0,0,0,0
86,87,87,88,90,80,0,0,0,0,1,0,0,0,0,1
84,80,86,81,89,81,0,0,0,0,1,1,0,0,0,0
88,90,92,96,88,83,1,0,0,1,1,0,0,0,0,1
85,84,84,83,88,80,0,0,0,0,1,0,0,0,0,0
87,78,86,91,88,81,0,0,0,0,0,1,1,0,0,0
88,90,88,84,90,84,1,0,0,0,1,0,0,0,0,1
82,78,86,93,90,82,0,0,0,0,1,0,0,0,0,0
84,83,85,84,90,81,0,0,0,0,1,0,0,0,0,0
87,87,90,95,87,84,1,0,0,0,1,0,0,1,0,1
89,86,86,85,89,81,1,0,0,0,1,0,0,0,0,1
92,90,88,95,87,85,1,0,0,0,1,0,0,0,0,1
83,82,82,83,88,79,0,0,0,0,1,1,0,0,0,0
86,88,86,94,89,81,0,0,0,0,1,0,0,0,0,1
89,92,89,95,90,81,1,0,0,0,1,0,0,0,0,1
82,85,86,83,90,79,0,0,0,0,1,1,1,0,0,0
83,85,87,83,88,82,0,0,0,0,1,0,1,1,1,0
90,85,88,95,89,85,1,0,0,0,1,0,1,1,1,1
85,83,90,92,87,83,0,1,0,1,1,0,0,0,0,1
90,88,89,91,90,82,1,0,0,0,1,0,0,0,0,1
86,90,85,95,89,81,1,0,0,0,0,0,0,0,0,1
90,88,89,96,88,83,1,0,0,0,1,0,0,0,0,1
82,80,86,84,88,82,0,0,0,0,1,0,1,0,0,0
86,84,86,92,88,81,0,0,0,0,1,0,0,1,0,1
82,78,83,91,88,80,0,0,0,0,1,1,0,0,0,0
88,89,92,96,89,82,1,0,0,0,1,0,0,1,0,1
85,88,88,94,90,79,0,0,0,0,1,0,0,0,0,1
88,88,90,94,89,88,1,0,0,0,1,0,0,0,0,1
87,85,86,95,90,86,1,0,0,0,1,0,0,0,0,1
85,80,89,84,89,86,0,0,0,1,1,0,0,0,0,0
87,80,88,95,88,87,0,0,0,0,1,0,0,0,0,1
87,78,84,95,89,87,0,0,0,0,1,0,0,0,0,1
88,88,86,94,89,85,1,0,0,0,1,0,0,0,0,1
87,94,87,84,89,86,1,0,0,0,1,0,1,0,0,1
86,81,87,84,90,85,0,0,0,0,1,0,0,0,0,0
87,85,88,95,90,88,1,0,0,0,1,0,0,0,0,1
88,81,88,85,90,85,0,0,0,0,1,1,1,1,1,1
88,83,88,96,90,87,1,0,0,0,1,0,0,0,0,1
89,86,90,95,90,83,1,0,0,0,1,0,0,0,0,1
86,80,88,95,90,86,0,0,0,0,1,0,1,0,0,1
88,83,87,92,89,88,1,0,0,0,1,1,1,0,0,1
85,78,86,81,90,84,0,0,0,0,1,0,0,0,0,0
86,78,89,91,89,87,0,1,1,0,1,1,0,0,0,1
85,79,86,85,90,85,0,0,0,0,1,1,0,0,0,0
85,78,87,92,90,83,0,0,0,0,1,1,0,0,0,0
87,81,86,95,89,82,0,0,0,0,1,0,1,0,0,1
89,82,90,95,90,86,1,0,0,0,1,0,0,0,0,1
88,81,86,95,88,85,1,0,0,0,1,0,1,0,0,1
87,85,86,95,89,85,1,0,0,0,1,0,1,0,1,1
90,88,89,94,90,88,1,0,0,0,1,0,0,0,0,1
87,80,86,93,89,84,0,0,1,0,1,0,0,0,0,1
83,78,86,89,89,81,0,0,0,0,1,0,0,1,0,0
86,83,85,94,88,84,0,0,0,0,1,0,0,0,0,1
86,80,88,93,90,84,0,0,0,0,1,1,0,0,0,1
87,83,85,84,90,83,0,0,0,0,1,0,1,0,0,1
86,80,87,86,88,84,0,0,0,0,1,0,1,0,0,0
86,85,83,95,88,85,0,1,0,0,1,0,0,0,0,1
87,81,84,94,88,82,0,0,0,0,1,0,1,0,0,1
86,82,86,92,90,85,0,0,0,0,1,1,0,0,0,1
86,78,87,92,90,84,0,0,0,0,1,0,0,0,0,1
88,84,88,87,88,84,0,0,0,0,1,1,0,0,0,1
88,85,85,94,88,87,1,0,0,0,1,0,1,1,1,1
87,88,87,93,89,84,1,0,0,0,1,0,0,0,0,1
87,83,81,84,89,85,0,0,0,0,1,0,0,0,0,1
89,83,90,94,88,88,1,1,0,0,1,0,0,1,0,1
87,84,88,86,89,87,1,0,0,0,1,0,0,0,0,1
86,83,81,94,90,85,0,0,0,0,1,0,0,0,0,1
87,83,82,84,88,84,0,1,0,1,1,0,0,0,0,1
87,83,86,92,87,83,0,0,0,0,0,0,0,0,0,1
85,81,82,82,88,82,0,0,0,0,1,1,0,0,0,0
86,81,82,95,89,84,0,0,0,0,1,0,0,0,0,1
85,83,82,94,87,81,0,0,0,0,1,1,0,1,0,0
89,84,91,95,87,86,1,0,0,0,0,1,0,0,0,1
85,83,86,95,88,84,0,0,1,0,0,0,1,0,1,1
87,84,82,84,87,83,0,0,0,0,1,0,0,0,0,1
86,83,90,94,88,83,0,0,0,0,1,1,0,0,0,1
84,81,82,94,87,84,0,0,0,1,1,0,0,1,1,0
81,80,83,80,87,84,0,0,0,0,1,0,0,1,1,0
84,84,82,81,89,83,0,0,0,0,1,0,0,1,0,0
84,84,82,85,87,85,0,0,0,1,1,0,0,1,0,0
86,84,82,84,88,84,0,0,0,0,1,0,0,0,0,0
87,83,86,86,90,83,0,0,0,0,1,1,0,1,0,1
85,84,88,94,90,86,0,0,0,0,1,1,0,0,0,1
87,83,86,94,88,82,0,0,0,0,1,0,0,0,0,1
87,84,88,96,88,85,1,0,0,0,1,0,0,0,0,1
88,84,89,95,88,88,1,0,0,0,1,0,0,0,0,1
88,84,88,95,89,83,1,0,0,0,1,1,0,1,1,1
85,83,81,83,88,81,0,0,0,0,1,0,0,1,0,0
86,83,82,83,88,82,0,0,0,0,1,0,0,0,0,0
88,84,91,95,89,86,1,0,0,1,0,1,0,0,0,1
82,80,86,93,88,82,0,0,0,0,1,0,0,0,0,0
