absences,n_agama,n_pkn,n_bindo,n_mat,n_bing,n_por,n_bjawa,n_kejuruan,family_size,final_score,gender_L,gender_P,n_sikap_A,n_sikap_B,n_sikap_C,organization_tidak,organization_ya,extracurricular_tidak,extracurricular_ya,origin_jhs_negeri,origin_jhs_swasta,address_kabupaten,address_kota,parent_status_Cerai Mati,parent_status_Kawin,father_edu_D1,father_edu_D2,father_edu_D3,father_edu_Putus SD,father_edu_S1,father_edu_S2,father_edu_SD sederajat,father_edu_SMA sederajat,father_edu_SMP / sederajat,father_edu_SMP sederajat,father_edu_Tidak sekolah,father_work_Buruh,father_work_Karyawan Swasta,father_work_Lainnya,father_work_PNSTNIPolri,father_work_Pedagang Besar,father_work_Pedagang Kecil,father_work_Pensiunan,father_work_Petani,father_work_Sudah Meninggal,father_work_Tidak bekerja,father_work_Wiraswasta,father_work_Wirausaha,father_salary_Cukup Rendah,father_salary_Cukup Tinggi,father_salary_Rendah,father_salary_Sangat Rendah,father_salary_Tidak Berpenghasilan,father_salary_Tinggi,mother_edu_D1,mother_edu_D3,mother_edu_Putus SD,mother_edu_S1,mother_edu_S2,mother_edu_S3,mother_edu_SD sederajat,mother_edu_SMA sederajat,mother_edu_SMP / sederajat,mother_edu_SMP sederajat,mother_edu_Tidak sekolah,mother_work_Buruh,mother_work_Karyawan Swasta,mother_work_Lainnya,mother_work_PNSTNIPolri,mother_work_Pedagang Besar,mother_work_Pedagang Kecil,mother_work_Pensiunan,mother_work_Petani,mother_work_Sudah Meninggal,mother_work_Tidak bekerja,mother_work_Tidak dapat diterapkan,mother_work_Wiraswasta,mother_work_Wirausaha,mother_salary_Cukup Rendah,mother_salary_Cukup Tinggi,mother_salary_Rendah,mother_salary_Sangat Rendah,mother_salary_Tidak Berpenghasilan,mother_salary_Tinggi,scholarship_Tidak,scholarship_Ya,house_status_Menumpang,house_status_Rumah Sendiri,house_status_Sewa
1,94,84,87,85,82,89,89,87,7,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1,83,82,87,82,79,84,88,86,4,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,94,83,87,90,84,87,87,88,5,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3,94,83,88,85,81,89,89,88,4,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
5,91,82,87,84,80,85,89,87,5,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2,92,82,83,84,81,83,89,86,6,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
4,94,82,87,84,81,87,90,86,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,95,84,87,86,90,90,90,90,5,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,91,82,86,80,79,85,88,86,6,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,95,84,84,84,85,91,89,87,5,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
